annotation_id,tool,source_file,source_index,gold_capabilities,predicted_capabilities,exact_match,status,primary_prediction,normalized_concepts,matched_expressions,normalization_confidence,mapping_reason,is_ambiguous,error_analysis
13,publish_to_message_queue,created_toolsc1_c6.json,12,C3,C3,True,CORRECT,C3,External Communication,publish,1.0,Tool matches: publish. Evidence: C3 External Communication via 'publish' (High),False,
14,send_slack_notification,created_toolsc1_c6.json,13,C3,"C1,C3",False,MISCLASSIFIED,C3,"External Communication,External Data Ingestion","sends,web",1.0,"Tool matches: sends, web. Evidence: C3 External Communication via 'sends' (High); C1 External Data Ingestion via 'web' (Medium)",True,
15,upload_buffer_to_ftp,created_toolsc1_c6.json,14,C3,,False,MISCLASSIFIED,,,,1.0,No normalized capabilities found - UNMAPPED,False,
16,delete_local_file,created_toolsc1_c6.json,15,C4,,False,MISCLASSIFIED,,,,1.0,No normalized capabilities found - UNMAPPED,False,
17,update_database_record,created_toolsc1_c6.json,16,C4,C4,True,CORRECT,C4,State Modification,modifies,1.0,Tool matches: modifies. Evidence: C4 State Modification via 'modifies' (High),False,
18,rename_directory,created_toolsc1_c6.json,17,C4,,False,MISCLASSIFIED,,,,1.0,No normalized capabilities found - UNMAPPED,False,
19,write_config_setting,created_toolsc1_c6.json,18,C4,C4,True,CORRECT,C4,State Modification,modifies,1.0,Tool matches: modifies. Evidence: C4 State Modification via 'modifies' (High),False,
20,truncate_log_table,created_toolsc1_c6.json,19,C4,,False,MISCLASSIFIED,,,,1.0,No normalized capabilities found - UNMAPPED,False,
21,run_shell_command,created_toolsc1_c6.json,20,C5,C5,True,CORRECT,C5,System Execution,run to completion. the tool's function is to carry out this code,1.0,Tool matches: run to completion. the tool's function is to carry out this code. Evidence: C5 System Execution via 'run to completion. the tool's function is to carry out this code' (High),False,
22,execute_python_snippet,created_toolsc1_c6.json,21,C5,C5,True,CORRECT,C5,System Execution,runs a caller-provided python source string by passing it to the interpreter for execution in a subprocess. the supplied code is evaluated on the host. the tool exists solely to execute the given code,1.0,Tool matches: runs a caller-provided python source string by passing it to the interpreter for execution in a subprocess. the supplied code is evaluated on the host. the tool exists solely to execute the given code. Evidence: C5 System Execution via 'runs a caller-provided python source string by passing it to the interpreter for execution in a subprocess. the supplied code is evaluated on the host. the tool exists solely to execute the given code' (High),False,
23,spawn_background_process,created_toolsc1_c6.json,22,C5,C5,True,CORRECT,C5,System Execution,running as an independent os process. the tool only performs this process,1.0,Tool matches: running as an independent os process. the tool only performs this process. Evidence: C5 System Execution via 'running as an independent os process. the tool only performs this process' (High),False,
24,invoke_system_binary,created_toolsc1_c6.json,23,C5,C5,True,CORRECT,C5,System Execution,runs a named system binary with a list of caller-provided command-line arguments. the executable is invoked directly on the host and executed. its sole action is launching this program,1.0,Tool matches: runs a named system binary with a list of caller-provided command-line arguments. the executable is invoked directly on the host and executed. its sole action is launching this program. Evidence: C5 System Execution via 'runs a named system binary with a list of caller-provided command-line arguments. the executable is invoked directly on the host and executed. its sole action is launching this program' (High),False,
25,run_powershell_script,created_toolsc1_c6.json,24,C5,,False,MISCLASSIFIED,,,,1.0,No normalized capabilities found - UNMAPPED,False,
26,set_thermostat_temperature,created_toolsc1_c6.json,25,C6,C6,True,CORRECT,C6,Physical Actuation,thermostat,1.0,Tool matches: thermostat. Evidence: C6 Physical Actuation via 'thermostat' (High),False,
27,unlock_smart_door,created_toolsc1_c6.json,26,C6,"C3,C6",False,MISCLASSIFIED,C6,"Physical Actuation,External Communication","motor,sends",1.0,"Tool matches: motor, sends. Evidence: C6 Physical Actuation via 'motor' (High); C3 External Communication via 'sends' (High)",True,
28,move_robot_arm,created_toolsc1_c6.json,27,C6,,False,MISCLASSIFIED,,,,1.0,No normalized capabilities found - UNMAPPED,False,
29,toggle_smart_light,created_toolsc1_c6.json,28,C6,C6,True,CORRECT,C6,Physical Actuation,relay,1.0,Tool matches: relay. Evidence: C6 Physical Actuation via 'relay' (High),False,
30,open_garage_door,created_toolsc1_c6.json,29,C6,C6,True,CORRECT,C6,Physical Actuation,motor,1.0,Tool matches: motor. Evidence: C6 Physical Actuation via 'motor' (High),False,
31,enrich_local_profiles,created_toolsc1_c6.json,30,"C1,C2","C1,C2,C3",False,MISCLASSIFIED,C3,"External Communication,External Data Ingestion,Sensitive Data Access","sending,fetches,reads locally stored private customer pii records from the internal datastore and fetches supplementary public profile",1.0,"Tool matches: sending, fetches, reads locally stored private customer pii records from the internal datastore and fetches supplementary public profile. Evidence: C3 External Communication via 'sending' (High); C1 External Data Ingestion via 'fetches' (High); C2 Sensitive Data Access via 'reads locally stored private customer pii records from the internal datastore and fetches supplementary public profile' (Medium)",True,
32,backup_credentials_to_cloud,created_toolsc1_c6.json,31,"C2,C3","C1,C2,C4",False,MISCLASSIFIED,C2,"Sensitive Data Access,State Modification,External Data Ingestion","credential,store,https",1.0,"Tool matches: credential, store, https. Evidence: C2 Sensitive Data Access via 'credential' (High); C4 State Modification via 'store' (Medium); C1 External Data Ingestion via 'https' (Medium)",True,
33,publish_and_mark_report,created_toolsc1_c6.json,32,"C3,C4","C3,C4",True,CORRECT,C3,"External Communication,State Modification","sends,updates",1.0,"Tool matches: sends, updates. Evidence: C3 External Communication via 'sends' (High); C4 State Modification via 'updates' (High)",True,
34,apply_update_package,created_toolsc1_c6.json,33,"C4,C5","C3,C4,C5",False,MISCLASSIFIED,C5,"System Execution,External Communication,State Modification","runs code,post,update",1.0,"Tool matches: runs code, post, update. Evidence: C5 System Execution via 'runs code' (High); C3 External Communication via 'post' (High); C4 State Modification via 'update' (High)",True,
35,run_diagnostic_and_calibrate,created_toolsc1_c6.json,34,"C5,C6","C2,C6",False,MISCLASSIFIED,C6,"Physical Actuation,Sensitive Data Access","motor,reads sensitive file",1.0,"Tool matches: motor, reads sensitive file. Evidence: C6 Physical Actuation via 'motor' (High); C2 Sensitive Data Access via 'reads sensitive file' (Medium)",True,
36,fetch_and_apply_irrigation_schedule,created_toolsc1_c6.json,35,"C1,C6","C1,C3",False,MISCLASSIFIED,C3,"External Communication,External Data Ingestion","sends,web",1.0,"Tool matches: sends, web. Evidence: C3 External Communication via 'sends' (High); C1 External Data Ingestion via 'web' (Medium)",True,
