annotation_id,tool,source_file,gold_capabilities,predicted_capabilities,exact_match,status,primary_prediction,normalized_concepts,matched_expressions,normalization_confidence,mapping_reason,is_ambiguous,error_analysis
14,trigger-elicitation-request,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","trigger,elicitation",0.4,"Tool matches: trigger, elicitation. Evidence: C4 State Modification via 'trigger' (Low); C1 External Data Ingestion via 'elicitation' (Low)",True,"The gold label is C3 because the tool triggers a request from the server for user elicitation, representing external communication/interaction. The pipeline incorrectly mapped “trigger” to C4 State Modification and “elicitation” to C1 External Data Ingestion. These keyword matches are low-confidence and do not reflect the semantic purpose of the tool. The pipeline therefore missed the actual C3 capability."
15,trigger-elicitation-request-async,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","trigger,elicitation",0.4,"Tool matches: trigger, elicitation. Evidence: C4 State Modification via 'trigger' (Low); C1 External Data Ingestion via 'elicitation' (Low)",True,"The gold label is C3 because the tool triggers an asynchronous elicitation request, representing external communication/interaction. The pipeline incorrectly mapped “trigger” to C4 State Modification and “elicitation” to C1 External Data Ingestion. These low-confidence keyword matches do not represent the actual purpose of the tool, and the asynchronous execution does not change its underlying capability. The pipeline therefore missed the correct C3 classification."
16,trigger-sampling-request,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","sampling-request,trigger",0.7,"Tool matches: sampling-request, trigger. Evidence: C1 External Data Ingestion via 'sampling-request' (Medium) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,"The gold label is C3 because the tool triggers a request from the server for LLM sampling, which represents external communication with an LLM. The pipeline incorrectly mapped “sampling-request” to C1 External Data Ingestion and “trigger” to C4 State Modification. These mappings are based on isolated keywords and metadata rather than the semantic purpose of the tool. The openWorldHint=True metadata was also incorrectly used to strengthen the C1 prediction, even though it does not by itself establish external data ingestion. The pipeline therefore missed the correct C3 classification."
17,trigger-sampling-request-async,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","sampling-request,trigger",0.7,"Tool matches: sampling-request, trigger. Evidence: C1 External Data Ingestion via 'sampling-request' (Medium) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,"The gold label is C3 because the tool triggers an asynchronous request from the server for LLM sampling, representing external communication with an LLM. The pipeline incorrectly mapped “sampling-request” to C1 External Data Ingestion and “trigger” to C4 State Modification. These mappings rely on isolated keywords rather than the semantic purpose of the tool. The openWorldHint=True metadata was also incorrectly used to strengthen the C1 prediction, even though it does not establish external data ingestion. The asynchronous nature of the request does not change its underlying capability. The pipeline therefore missed the correct C3 classification."
18,simulate-research-query,everything_tools.json,,C1,False,MISCLASSIFIED,C1,External Data Ingestion,research-query,0.7,Tool matches: research-query. Evidence: C1 External Data Ingestion via 'research-query' (Medium),False,"The gold label is NONE because the tool only simulates a deep research operation and does not explicitly state that it retrieves or ingests external data. The pipeline incorrectly mapped “research-query” to C1 External Data Ingestion based on the lexical association between research queries and external data retrieval. This keyword-level match does not establish that actual external data is ingested, resulting in a false-positive C1 prediction."
19,trigger-url-elicitation,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","url,trigger",1.0,"Tool matches: url, trigger. Evidence: C1 External Data Ingestion via 'url' (High) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,"The gold label is C3 because the tool triggers URL elicitation for a browser flow, representing external communication/interaction. The pipeline incorrectly mapped “url” to C1 External Data Ingestion and “trigger” to C4 State Modification. The C1 prediction was further strengthened by openWorldHint=True, even though the presence of a URL does not prove that the tool retrieves or ingests external data. The C4 prediction is also a weak keyword-based inference from “trigger” and does not represent state modification. The pipeline therefore missed the semantic purpose of the tool and incorrectly assigned C1 and C4."
20,write_file,filesystem_tools.json,C4,C4,True,CORRECT,C4,State Modification,create,1.0,Tool matches: create. Evidence: C4 State Modification via 'create' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
21,edit_file,filesystem_tools.json,C4,C4,True,CORRECT,C4,State Modification,replace,1.0,Tool matches: replace. Evidence: C4 State Modification via 'replace' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
22,create_directory,filesystem_tools.json,C4,C4,True,CORRECT,C4,State Modification,create,1.0,Tool matches: create. Evidence: C4 State Modification via 'create' (High),False,
23,list_directory,filesystem_tools.json,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,list_directory list directory,0.7,Tool matches: list_directory list directory. Evidence: C2 Sensitive Data Access via 'list_directory list directory' (Medium),False,"The gold label is NONE because the tool only lists directory contents and does not explicitly access sensitive data. The pipeline incorrectly inferred C2 Sensitive Data Access from the generic filesystem operation “list directory.” This is a semantic overgeneralization: filesystem access does not necessarily mean sensitive-data access, and the readOnlyHint=True metadata supports that the tool is only performing a read operation without establishing sensitivity."
24,list_directory_with_sizes,filesystem_tools.json,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,list_directory,0.7,Tool matches: list_directory. Evidence: C2 Sensitive Data Access via 'list_directory' (Medium),False,The gold label is NONE because the tool only lists directory contents and their sizes; it does not explicitly access or retrieve sensitive data. The pipeline incorrectly mapped the generic expression “list_directory” to C2 Sensitive Data Access. This is a semantic overgeneralization in which ordinary filesystem metadata access is treated as sensitive-data access without evidence that the data itself is sensitive.
25,directory_tree,filesystem_tools.json,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,show directory,0.7,Tool matches: show directory. Evidence: C2 Sensitive Data Access via 'show directory' (Medium),False,"The gold label is NONE because the tool only recursively displays the directory structure and does not explicitly access or retrieve sensitive data. The pipeline incorrectly mapped the generic expression “show directory” to C2 Sensitive Data Access. This is a semantic overgeneralization, as viewing directory structure does not establish that sensitive information is being accessed."
26,move_file,filesystem_tools.json,C4,C4,True,CORRECT,C4,State Modification,move,1.0,Tool matches: move. Evidence: C4 State Modification via 'move' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
27,search_files,filesystem_tools.json,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,search_files search files/directories,0.7,Tool matches: search_files search files/directories. Evidence: C2 Sensitive Data Access via 'search_files search files/directories' (Medium),False,"The gold label is NONE because the tool only searches files and directories by pattern and does not explicitly read, retrieve, or access sensitive data. The pipeline incorrectly mapped the generic filesystem search operation to C2 Sensitive Data Access. This is a semantic overgeneralization: searching for files does not establish that the files contain sensitive information or that their contents are accessed."
28,get_file_info,filesystem_tools.json,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,file/directory metadata,0.7,Tool matches: file/directory metadata. Evidence: C2 Sensitive Data Access via 'file/directory metadata' (Medium),False,"The gold label is NONE because the tool only retrieves file or directory metadata and does not explicitly access sensitive data or file contents. The pipeline incorrectly mapped the generic expression “file/directory metadata” to C2 Sensitive Data Access. This is a semantic overgeneralization: retrieving metadata such as file size, type, timestamps, or permissions does not establish access to sensitive information."
29,list_allowed_directories,filesystem_tools.json,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,list_allowed_directories list accessible directories,0.7,Tool matches: list_allowed_directories list accessible directories. Evidence: C2 Sensitive Data Access via 'list_allowed_directories list accessible directories' (Medium),False,The gold label is NONE because the tool only lists directories that are accessible to the server and does not read their contents or access sensitive data. The pipeline incorrectly mapped the generic expression “list accessible directories” to C2 Sensitive Data Access. This is a semantic overgeneralization: knowing which directories are accessible does not establish that sensitive information within those directories is being accessed.
30,git_status,git_tools.json,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,git_status,0.4,Tool matches: git_status. Evidence: C2 Sensitive Data Access via 'git_status' (Low),False,"The gold label is NONE because the tool only reports the Git working-tree status and does not explicitly access sensitive data. The pipeline incorrectly mapped “git_status” to C2 Sensitive Data Access based on the tool name rather than its actual function. This is a low-confidence lexical false positive, as Git repository status information does not by itself establish access to sensitive data."
