annotation_id,tool,source_file,gold_capabilities,predicted_capabilities,exact_match,status,primary_prediction,normalized_concepts,matched_expressions,normalization_confidence,mapping_reason,is_ambiguous,error_analysis
16,trigger-long-running-operation,everything_tools.json,,C4,False,MISCLASSIFIED,C4,State Modification,updates,0.7,Tool matches: updates. Evidence: C4 State Modification via 'updates' (Medium) [readOnlyHint=true contradicts write-side capability -> lowered one step],False,lexical ambiguity in your normalization rules.
17,trigger-elicitation-request,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","trigger,elicitation",0.4,"Tool matches: trigger, elicitation. Evidence: C4 State Modification via 'trigger' (Low); C1 External Data Ingestion via 'elicitation' (Low)",True,trigger and elicitation are being interpreted as capabilities rather than recognizing the explicit communication/request semantics of the tool.
18,trigger-elicitation-request-async,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","trigger,elicitation",0.4,"Tool matches: trigger, elicitation. Evidence: C4 State Modification via 'trigger' (Low); C1 External Data Ingestion via 'elicitation' (Low)",True,Pipeline error: the lexical mapper incorrectly maps trigger and elicitation to C4 and C1 instead of recognizing the explicit communication/request capability C3.
19,trigger-sampling-request,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","sampling-request,trigger",0.7,"Tool matches: sampling-request, trigger. Evidence: C1 External Data Ingestion via 'sampling-request' (Medium) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,confusing request/interaction verbs with C1/C4.
20,trigger-sampling-request-async,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","sampling-request,trigger",0.7,"Tool matches: sampling-request, trigger. Evidence: C1 External Data Ingestion via 'sampling-request' (Medium) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,lexical-mapping weakness
21,simulate-research-query,everything_tools.json,,C1,False,MISCLASSIFIED,C1,External Data Ingestion,research-query,0.7,Tool matches: research-query. Evidence: C1 External Data Ingestion via 'research-query' (Medium),False,LD:       NONE
22,trigger-url-elicitation,everything_tools.json,C3,"C1,C4",False,MISCLASSIFIED,C1,"External Data Ingestion,State Modification","url,trigger",1.0,"Tool matches: url, trigger. Evidence: C1 External Data Ingestion via 'url' (High) [openWorldHint=true supports external-facing capability -> raised one step]; C4 State Modification via 'trigger' (Low)",True,PREDICTED:  C1
23,write_file,filesystem_tools.json,C4,C4,True,CORRECT,C4,State Modification,create,1.0,Tool matches: create. Evidence: C4 State Modification via 'create' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
24,edit_file,filesystem_tools.json,C4,C4,True,CORRECT,C4,State Modification,replace,1.0,Tool matches: replace. Evidence: C4 State Modification via 'replace' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
25,create_directory,filesystem_tools.json,C4,C4,True,CORRECT,C4,State Modification,create,1.0,Tool matches: create. Evidence: C4 State Modification via 'create' (High),False,
26,list_directory,filesystem_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,list_directory list directory,0.7,Tool matches: list_directory list directory. Evidence: C2 Sensitive Data Access via 'list_directory list directory' (Medium),False,
27,list_directory_with_sizes,filesystem_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,list_directory,0.7,Tool matches: list_directory. Evidence: C2 Sensitive Data Access via 'list_directory' (Medium),False,
28,directory_tree,filesystem_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,show directory,0.7,Tool matches: show directory. Evidence: C2 Sensitive Data Access via 'show directory' (Medium),False,
29,move_file,filesystem_tools.json,C4,C4,True,CORRECT,C4,State Modification,move,1.0,Tool matches: move. Evidence: C4 State Modification via 'move' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
30,search_files,filesystem_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,search_files search files/directories,0.7,Tool matches: search_files search files/directories. Evidence: C2 Sensitive Data Access via 'search_files search files/directories' (Medium),False,
31,get_file_info,filesystem_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,file/directory metadata,0.7,Tool matches: file/directory metadata. Evidence: C2 Sensitive Data Access via 'file/directory metadata' (Medium),False,
32,list_allowed_directories,filesystem_tools.json,,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,list_allowed_directories list accessible directories,0.7,Tool matches: list_allowed_directories list accessible directories. Evidence: C2 Sensitive Data Access via 'list_allowed_directories list accessible directories' (Medium),False,
33,git_status,git_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,git_status,0.4,Tool matches: git_status. Evidence: C2 Sensitive Data Access via 'git_status' (Low),False,
34,git_diff_unstaged,git_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,shows changes in the working directory,0.7,Tool matches: shows changes in the working directory. Evidence: C2 Sensitive Data Access via 'shows changes in the working directory' (Medium),False,
35,git_diff_staged,git_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,git_diff,0.4,Tool matches: git_diff. Evidence: C2 Sensitive Data Access via 'git_diff' (Low),False,
36,git_diff,git_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,git_diff,0.4,Tool matches: git_diff. Evidence: C2 Sensitive Data Access via 'git_diff' (Low),False,
37,git_commit,git_tools.json,C4,C4,True,CORRECT,C4,State Modification,git_commit,0.7,Tool matches: git_commit. Evidence: C4 State Modification via 'git_commit' (Medium),False,
38,git_add,git_tools.json,"C2,C4",C4,False,MISCLASSIFIED,C4,State Modification,git_add,0.7,Tool matches: git_add. Evidence: C4 State Modification via 'git_add' (Medium),False,Pipeline evidence:
39,git_reset,git_tools.json,C4,C4,True,CORRECT,C4,State Modification,git_reset,1.0,Tool matches: git_reset. Evidence: C4 State Modification via 'git_reset' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
40,git_log,git_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,git_log,0.4,Tool matches: git_log. Evidence: C2 Sensitive Data Access via 'git_log' (Low),False,
41,git_create_branch,git_tools.json,C4,C4,True,CORRECT,C4,State Modification,creates,1.0,Tool matches: creates. Evidence: C4 State Modification via 'creates' (High),False,
42,git_checkout,git_tools.json,C4,C4,True,CORRECT,C4,State Modification,git_checkout,0.7,Tool matches: git_checkout. Evidence: C4 State Modification via 'git_checkout' (Medium),False,
43,git_show,git_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,git_show,0.4,Tool matches: git_show. Evidence: C2 Sensitive Data Access via 'git_show' (Low),False,
44,git_branch,git_tools.json,C2,C4,False,MISCLASSIFIED,C4,State Modification,git_branch,0.4,Tool matches: git_branch. Evidence: C4 State Modification via 'git_branch' (Low) [readOnlyHint=true contradicts write-side capability -> lowered one step],False,Normalized concepts: ['External Data Ingestion']
45,create_entities,memory_tools.json,C4,C4,True,CORRECT,C4,State Modification,create,1.0,Tool matches: create. Evidence: C4 State Modification via 'create' (High),False,
46,create_relations,memory_tools.json,C4,C4,True,CORRECT,C4,State Modification,create,1.0,Tool matches: create. Evidence: C4 State Modification via 'create' (High),False,
47,add_observations,memory_tools.json,C4,C4,True,CORRECT,C4,State Modification,add,0.7,Tool matches: add. Evidence: C4 State Modification via 'add' (Medium),False,
48,delete_entities,memory_tools.json,C4,C4,True,CORRECT,C4,State Modification,delete,1.0,Tool matches: delete. Evidence: C4 State Modification via 'delete' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
49,delete_observations,memory_tools.json,C4,C4,True,CORRECT,C4,State Modification,delete,1.0,Tool matches: delete. Evidence: C4 State Modification via 'delete' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
50,delete_relations,memory_tools.json,C4,C4,True,CORRECT,C4,State Modification,delete,1.0,Tool matches: delete. Evidence: C4 State Modification via 'delete' (High) [destructiveHint=true confirms C4 -> confidence forced to High],False,
